,Unnamed: 0,static_text,log_level,tokens,pos,posNum
0,1854,Closing excess replica of meta region ,info,"[Closing, excess, replica, of, meta, region]","['VERB', 'ADJ', 'NOUN', 'ADP', 'ADJ', 'NOUN']","[100, 84, 92, 85, 84, 92]"
1,15783,Some logging configurations have %marker but don't have %node_name. We will automatically add %node_name to the pattern to ease the migration for users who customize log4j2.properties but will stop this behavior in 7.0. You should manually replace `%node_name` with `[%node_name]%marker ` in these locations:   *,warn,"[Some, logging, configurations, have, marker, but, don, t, have, node_name, We, will, automatically, add, node_name, to, the, pattern, to, ease, the, migration, for, users, who, customize, log4j2, properties, but, will, stop, this, behavior, in, 7, 0, You, should, manually, replace, node_name, with, node_name, marker, in, these, locations]","['DET', 'VERB', 'NOUN', 'VERB', 'NOUN', 'CCONJ', 'PROPN', 'PROPN', 'VERB', 'PUNCT', 'PRON', 'AUX', 'ADV', 'VERB', 'PROPN', 'ADP', 'DET', 'NOUN', 'PART', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'PRON', 'VERB', 'NOUN', 'NOUN', 'CCONJ', 'AUX', 'VERB', 'DET', 'NOUN', 'ADP', 'NUM', 'NUM', 'PRON', 'AUX', 'ADV', 'VERB', 'PROPN', 'ADP', 'PRON', 'NOUN', 'ADP', 'DET', 'NOUN']","[90, 100, 92, 100, 92, 89, 96, 96, 100, 97, 95, 87, 86, 100, 96, 85, 90, 92, 94, 100, 90, 92, 85, 92, 95, 100, 92, 92, 89, 87, 100, 90, 92, 85, 93, 93, 95, 87, 86, 100, 96, 85, 95, 92, 85, 90, 92]"
2,4134,"Confirm allowable number of failed ZooKeeper nodes, as quorum will already be lost. Setting of * failures is unexpected for * ensemble size.",warn,"[Confirm, allowable, number, of, failed, ZooKeeper, nodes, as, quorum, will, already, be, lost, Setting, of, failures, is, unexpected, for, ensemble, size]","['VERB', 'ADJ', 'NOUN', 'ADP', 'VERB', 'PROPN', 'NOUN', 'SCONJ', 'NOUN', 'AUX', 'ADV', 'AUX', 'VERB', 'NOUN', 'ADP', 'NOUN', 'AUX', 'ADJ', 'ADP', 'ADJ', 'NOUN']","[100, 84, 92, 85, 100, 96, 92, 98, 92, 87, 86, 87, 100, 92, 85, 92, 87, 84, 85, 84, 92]"
3,12735,Login failed: * : * (URI=*),info,"[Login, failed, URI]","['PROPN', 'VERB', 'PROPN']","[96, 100, 96]"
4,13400,Skipping record due to negative extracted timestamp. topic=[*] partition=[*] offset=[*] extractedTimestamp=[*] extractor=[*],warn,"[Skipping, record, due, to, negative, extracted, timestamp, topic, partition, offset, extractedTimestamp, extractor]","['VERB', 'NOUN', 'ADP', 'ADP', 'ADJ', 'VERB', 'NOUN', 'NOUN', 'NOUN', 'VERB', 'PROPN', 'NOUN']","[100, 92, 85, 85, 84, 100, 92, 92, 92, 100, 96, 92]"
5,12157,HBase security setting: *,info,"[HBase, security, setting]","['NOUN', 'NOUN', 'VERB']","[92, 92, 100]"
6,10795,Created * failover regions.,info,"[Created, failover, regions]","['VERB', 'ADJ', 'NOUN']","[100, 84, 92]"
7,3702,Failed to get bulk load events information from the WAL file.,warn,"[Failed, to, get, bulk, load, events, information, from, the, WAL, file]","['VERB', 'PART', 'VERB', 'ADJ', 'NOUN', 'NOUN', 'NOUN', 'ADP', 'DET', 'PROPN', 'NOUN']","[100, 94, 100, 84, 92, 92, 92, 85, 90, 96, 92]"
8,14006,* successfully logged in.,info,"[ , successfully, logged, in]","['SPACE', 'ADV', 'VERB', 'ADP']","[103, 86, 100, 85]"
9,4249,Failed find method  |  in dfsclient; no hedged read metrics: ,warn,"[Failed, find, method, in, dfsclient, no, hedged, read, metrics]","['VERB', 'VERB', 'NOUN', 'ADP', 'PROPN', 'DET', 'VERB', 'NOUN', 'NOUN']","[100, 100, 92, 85, 96, 90, 100, 92, 92]"
10,5712,Could not convert *=* using Locale: *,warn,"[Could, not, convert, using, Locale]","['AUX', 'PART', 'VERB', 'VERB', 'PROPN']","[87, 94, 100, 100, 96]"
11,10979,Requesting new slot [*] and profile * from resource manager.,info,"[Requesting, new, slot, and, profile, from, resource, manager]","['VERB', 'ADJ', 'NOUN', 'CCONJ', 'VERB', 'ADP', 'NOUN', 'NOUN']","[100, 84, 92, 89, 100, 85, 92, 92]"
12,3444,* not tuning the chunk pool as it is offheap,warn,"[ , not, tuning, the, chunk, pool, as, it, is, offheap]","['SPACE', 'PART', 'VERB', 'DET', 'ADJ', 'NOUN', 'SCONJ', 'PRON', 'AUX', 'ADJ']","[103, 94, 100, 90, 84, 92, 98, 95, 87, 84]"
13,15416,unexpected error while checking for node reconnects,warn,"[unexpected, error, while, checking, for, node, reconnects]","['ADJ', 'NOUN', 'SCONJ', 'VERB', 'ADP', 'PROPN', 'NOUN']","[84, 92, 98, 100, 85, 96, 92]"
14,8,Updated row * with server=,info,"[Updated, row, with, server]","['VERB', 'NOUN', 'ADP', 'NOUN']","[100, 92, 85, 92]"
15,1483,Failed to delete node  |  and will retry soon.,info,"[Failed, to, delete, node, and, will, retry, soon]","['VERB', 'PART', 'VERB', 'NOUN', 'CCONJ', 'AUX', 'VERB', 'ADV']","[100, 94, 100, 92, 89, 87, 100, 86]"
16,8736,32bit JVM detected.  It is recommended to run Cassandra on a 64bit JVM for better performance.,warn,"[32bit, JVM, detected, It, is, recommended, to, run, Cassandra, on, a, 64bit, JVM, for, better, performance]","['NOUN', 'PROPN', 'VERB', 'PRON', 'AUX', 'VERB', 'PART', 'VERB', 'PROPN', 'ADP', 'DET', 'ADJ', 'PROPN', 'ADP', 'ADJ', 'NOUN']","[92, 96, 100, 95, 87, 100, 94, 100, 96, 85, 90, 84, 96, 85, 84, 92]"
17,7747,Please override method org.apache.wicket.util.crypt.ICryptFactory.newCrypt(),warn,"[Please, override, method, org, apache, wicket, util, crypt, ICryptFactory, newCrypt]","['INTJ', 'VERB', 'NOUN', 'NOUN', 'NOUN', 'NOUN', 'NOUN', 'PROPN', 'NOUN', 'PROPN']","[91, 100, 92, 92, 92, 92, 92, 96, 92, 96]"
18,9585,   referenced feature repository  |  is blacklisted,info,"[ , referenced, feature, repository, is, blacklisted]","['SPACE', 'VERB', 'NOUN', 'NOUN', 'AUX', 'VERB']","[103, 100, 92, 92, 87, 100]"
19,14823,WorkerReceiver is down,info,"[WorkerReceiver, is, down]","['PROPN', 'AUX', 'ADV']","[96, 87, 86]"
20,8826,Stop listening to thrift clients,info,"[Stop, listening, to, thrift, clients]","['VERB', 'VERB', 'PART', 'VERB', 'NOUN']","[100, 100, 94, 100, 92]"
21,607,Restoring cluster - starting initial backup master: ,info,"[Restoring, cluster, starting, initial, backup, master]","['VERB', 'NOUN', 'VERB', 'ADJ', 'ADJ', 'NOUN']","[100, 92, 100, 84, 84, 92]"
22,11044,"Cannot unregister metric, because the MetricRegistry has already been shut down.",warn,"[Can, not, unregister, metric, because, the, MetricRegistry, has, already, been, shut, down]","['AUX', 'PART', 'VERB', 'ADJ', 'SCONJ', 'DET', 'PROPN', 'AUX', 'ADV', 'AUX', 'VERB', 'ADP']","[87, 94, 100, 84, 98, 90, 96, 87, 86, 87, 100, 85]"
23,16128,Unable to estimate memory overhead,warn,"[Unable, to, estimate, memory, overhead]","['ADJ', 'PART', 'VERB', 'NOUN', 'ADV']","[84, 94, 100, 92, 86]"
24,14359,"Invalid path * with session 0x*, reason: *",info,"[Invalid, path, with, session, 0x, reason]","['ADJ', 'NOUN', 'ADP', 'NOUN', 'PROPN', 'NOUN']","[84, 92, 85, 92, 96, 92]"
